Team,TotalPoints,Racers,Races
SPRME,42462119.819142565,50,295808
P1RE,22896054.35888392,38,167034
TVX,22321234.52922789,49,160905
ECS,19417439.853706516,28,132744
RR,18810147.863723405,34,128048
PR2W,18784477.42294853,48,132651
N8TE,17191055.445396587,45,122433
CAM0,16083237.842692073,48,113532
IR,15013668.331277682,47,111917
ZL,14948617.508166157,37,106343
NTPD1,14257058.65440251,49,103803
PSR,14087393.762499377,47,102858
CZBZ,13832221.029834516,45,100080
TXT,13665765.273621244,48,98304
SSH,12586228.862625016,37,89348
NCT,11806445.044249149,43,85655
LXW,11462135.052398825,40,80921
WP,11370411.863340229,49,79357
BEEHVE,10157722.926037626,43,75860
FFS,10050430.065924168,48,73519
S0RC,8207337.6346244505,43,57661
TCHR,7060286.747178635,33,53249
NZV,6484993.189569919,42,41855
CHONT,6302287.259839984,5,39452
CR7LEG,6187534.571218091,11,35199
LEGNDS,5642706.336723321,44,40817
COMP5,5487107.403374886,39,39322
QC,5430704.23482759,2,40135
RFTP,5364759.723113642,34,43681
TFV,5328561.707565557,35,35792
WD5,5327300.710181877,24,38298
NVSEAL,5302173.373438642,50,40213
NTO,5173237.919104201,50,40578
4CU,5080148.774234029,34,30725
DIV1,5036040.293484487,38,34794
LOVGOD,5006360.779495611,37,35648
FASZ,4964968.114026911,21,35588
TVM,4793224.162125769,37,35076
0CE8N,4704258.493519096,48,36310
NXC,4459973.742385488,31,29813
42712,4344011.81220649,32,32555
DKC,4208539.165624892,48,32732
RI5E,4193194.5249647554,47,31965
ZTAGZ,4073823.89736387,39,28040
AMPX,3871872.1702198274,45,29568
FTHM,3853399.901380882,37,28497
RZ,3747749.6139949784,36,29755
WPMWPM,3729622.881083606,24,30091
LLJ4R,3681283.025606671,33,30338
ERC,3565759.311210798,24,24683
ZH,3514153.4512499818,42,25873
USAAT,3334292.046590483,41,25933
DLX,3266992.0620543887,46,26926
190IQ,3229947.728629266,5,23068
VG,3195094.5190146784,40,23274
L3JENS,3187768.5750672882,11,21508
NHS,3181450.6765729855,49,24875
NTPTS,3140668.9842385114,49,24092
NTP444,3061874.0516804853,48,25046
MMM0,3049290.8058098005,22,17769
MEYBO,3022153.073127141,26,21743
BKYS,2938290.5832216856,32,21774
NS7,2922202.625605191,48,21559
HFE,2880990.796013603,20,19332
F0J,2806421.8072942486,37,20589
SAIL,2711454.0505539426,38,21567
RL,2705218.9974517245,32,19700
T3X5,2704887.554658435,30,18972
DANATK,2700427.8409766,45,22882
BE3ST1,2686607.013995498,45,22091
HYP3Z,2683575.556034791,47,22158
T0WER,2654080.5114881545,40,17701
A3,2635932.9447880466,21,19388
50I,2598275.0573649174,29,18830
FAM3,2597284.3329698304,32,20367
ZSH,2490337.309904071,38,20567
TWO,2453284.1578022274,33,17316
XLUVX,2447350.55121348,45,19266
CAT4,2446614.3092925,44,20845
AL3,2418090.7476187935,30,18370
FERAL,2404822.165592348,41,17922
HELIUM,2401179.3010722995,48,20151
BRAVE,2363386.542783736,39,17819
1STRED,2319208.9354227926,45,18217
C0NQUE,2282588.8914371165,29,16643
OVCR,2212160.017048941,25,19104
P20W,2106666.3693054323,47,15066
EXTRME,2037819.4795213656,38,13514
4EP,2028963.9215060892,40,15524
RL1,1998111.0338593982,43,14477
BEGO0D,1995577.9090590242,47,14986
GLXM,1975988.1139196588,6,13261
LE4GUE,1955863.9198061228,45,15600
RVNT,1939849.7453966965,16,16300
NGREEN,1883458.1707209465,41,15174
DDFR,1814773.9596004272,28,11782
VTU,1803419.189154585,34,12734
911000,1789799.5177896353,35,14615
SSNAKS,1767924.0264809167,48,14790
ASPN,1765057.2533285674,39,14596
R1F,1764506.9441899448,15,11742
LTC,1739177.1576545648,23,11114
DUCCK,1695845.9842670914,49,13066
TRUST,1673825.1762470906,25,12816
BPR,1668466.754696386,33,12226
XMVP,1668314.510668214,38,13295
ALFJ,1616759.5267702036,41,13081
ZER0SE,1611545.017928888,49,11883
SZM,1589600.177036008,44,13800
TNGN,1574810.0695051295,44,11095
B0MBA,1552490.4066398623,31,10986
H0LY,1531895.1396503192,31,11364
PRETZE,1502823.1884455814,25,11879
ESTER,1499507.3890005914,28,11147
SNTL,1411493.7591219589,30,9924
FS1,1407533.0260014678,41,10272
D4RKER,1334400.199896204,30,9615
FTINT,1330638.2789392024,31,8619
QX,1305544.4243904497,33,10988
ST0RM,1305356.6920608624,14,9546
BAYLOR,1300929.8999354648,32,11429
WTRMN,1249260.250098448,33,9103
DRICE,1230905.0215495725,48,10701
FVRSMR,1189783.2780142897,37,9850
SEMI,1162514.476631891,44,9227
AL0N3D,1159235.1344071627,40,8794
SK4P,1135200.977050736,14,9126
WBMS12,1133359.7911811783,40,9902
3X0T15,1119255.9564456188,34,7317
LSH,1107881.9115203798,36,9053
KBSM,1090475.4365663214,40,8096
FERARI,1085065.9643076798,40,9238
SWF,1079737.430383429,25,7615
MED13L,1039100.997944529,36,7191
1BESTW,973960.4726580522,29,7240
DUAL,972504.1982734359,25,7062
WPJR,936150.8331916657,4,5234
DCPTCN,933752.2961875895,19,7631
SBD2,911635.6596987948,2,5700
DOGGIS,908553.6594551827,39,7621
VXL,896903.2542273881,6,6554
FOX109,892836.1551137893,27,6455
REB3LS,880116.0972659256,26,7106
SPDLM,879623.1287380477,41,7021
NTW,871024.0688768969,43,8648
BRICS,840865.6933626488,41,8106
W2V,830631.4340904014,22,6294
PIGFLY,818453.0480485471,35,6104
UNREST,806302.0005201467,25,5858
DB35T,782068.5968075691,39,6191
PAND96,767408.066410845,20,5829
