Team,TotalPoints,Racers,Races
SPRME,46557710.77981862,46,324989
P1RE,24097712.132408425,43,176041
TVX,23268736.853413068,46,167739
PR2W,21010419.069648817,50,148012
RR,19128291.764224824,33,130360
N8TE,19020887.112665534,47,134631
IR,18421424.582512964,46,136764
CAM0,18266332.409805898,49,128823
ZL,17083624.59580047,40,122135
TXT,15893306.807136316,49,114313
PSR,15398830.425356569,45,112258
CZBZ,15142272.149036566,46,109822
NTPD1,15130536.187515384,45,110384
SSH,13665038.41098236,39,96774
WP,12748675.442881612,50,89406
NCT,12092136.696775738,46,87847
LXW,11500599.54641182,7,81198
BEEHVE,11095479.999658918,50,82947
FFS,10727987.570429847,47,78612
S0RC,8858440.320860943,41,62463
TCHR,7479978.951466027,38,56573
CR7LEG,6922490.311342524,13,39282
NZV,6849184.171047703,39,44349
WD5,6585691.895545155,26,47633
NVSEAL,6488271.552296395,49,48650
CHONT,6304085.326912457,5,39466
LEGNDS,6018584.663556234,44,43761
QC,5826685.950126433,1,43107
DIV1,5820988.540884423,35,39993
COMP5,5784388.737174003,36,41326
TFV,5776545.211053068,40,38820
RFTP,5746744.605843179,38,46814
NTO,5642499.6893764315,50,44083
NXC,5313153.9296494005,32,35502
LOVGOD,5261246.0661159335,37,37492
FASZ,5139568.373904899,21,36863
4CU,5092801.118533221,32,30836
TVM,5058274.390030979,33,36889
42712,4974222.860532876,36,37404
0CE8N,4934685.4889837885,48,38213
FTHM,4569631.1465045465,35,33844
RI5E,4472031.3874807,46,34136
DKC,4420270.542655254,35,34392
ZTAGZ,4168789.1539874156,38,28778
AMPX,4128470.07597333,44,31515
RZ,4105124.3016030733,42,32158
ZH,4104283.909024694,45,30141
VG,3897560.8898817697,45,28238
WPMWPM,3781511.927867576,25,30518
LLJ4R,3770533.665510999,29,31108
L3JENS,3693101.48669656,10,25091
USAAT,3656040.410911336,44,28460
ERC,3604036.074193262,24,24942
NTPTS,3578345.0386166745,46,27628
BKYS,3501164.288238691,36,26040
DLX,3356912.2592245545,46,27675
