Team,TotalPoints,Racers,Races
SPRME,35819611.27278599,49,248896
P1RE,21541303.320720058,40,156930
TVX,20003629.89182637,48,144348
RR,18652212.943488423,32,127006
PR2W,16736265.849899538,49,118494
N8TE,15260584.173180088,42,109099
ECS,14777137.271921415,18,99991
CAM0,13874351.174821673,50,97547
ZL,13283429.597259052,36,94281
NTPD1,12980948.10875139,50,94565
PSR,12883661.86224371,45,94257
IR,12473582.25924268,42,92714
CZBZ,12299869.37497979,45,88737
TXT,11931864.00287668,49,85087
SSH,11524260.572322452,40,82067
NCT,10980722.905251328,46,79671
LXW,10656165.303806275,45,75146
WP,9675302.070134727,48,67782
FFS,9310478.360954747,46,68094
BEEHVE,9092309.867493918,42,67932
S0RC,7456677.300759371,46,52118
TCHR,6657702.854342228,32,50040
CHONT,6294354.297198741,7,39384
NZV,5732336.059664628,42,36961
CR7LEG,5353503.977789502,14,30573
COMP5,5233430.925506377,35,37505
QC,5086258.084872607,2,37625
LEGNDS,5084199.436564453,42,36536
4CU,5061268.937111305,40,30565
RFTP,5056431.738020388,36,41242
FASZ,4870409.750030572,23,34897
WD5,4808480.500932995,20,34603
NTO,4663149.4725957345,41,36858
TFV,4555053.9354459075,33,30743
LOVGOD,4486626.495276881,42,32045
NVSEAL,4422895.273769479,41,33466
TVM,4401927.997654231,39,32303
DIV1,4370476.11497767,46,30315
0CE8N,4301871.325883272,45,33002
ZTAGZ,3953930.9931637067,40,27086
DKC,3876055.3484085803,45,30144
NXC,3716065.9430086585,25,24756
WPMWPM,3583233.3537523393,29,28864
RI5E,3581412.9152579005,44,27328
LLJ4R,3534348.2715446893,39,29051
RZ,3529606.7486178284,43,27923
42712,3527542.969553806,23,26327
ERC,3513515.6490953327,23,24376
MTC2,3447089.437208633,26,24277
AMPX,3428977.9855157947,46,26124
FTHM,3226675.490499887,45,23709
190IQ,3217475.3993804054,4,22972
DLX,3046660.8707937114,45,25078
ZH,3034970.0472868984,45,22421
T2V,2981417.3101451136,10,20280
USAAT,2964881.747360986,46,23029
NHS,2959965.71734619,49,23153
NTP444,2841133.0788738993,31,23213
HFE,2827408.2224406493,20,18931
MEYBO,2802802.374998778,27,20204
NS7,2686369.6820312086,41,19824
F0J,2638285.8108798186,39,19243
MMM0,2635900.977616661,26,15084
VG,2602015.4779530345,33,19318
VKS,2562190.6012661336,39,19299
T3X5,2510665.739678647,28,17526
T0WER,2499760.610345558,39,16674
L3JENS,2477008.218273195,18,16592
HYP3Z,2465473.226994228,46,20363
DANATK,2439561.6914406195,41,20695
NTPTS,2438650.8585897353,42,18505
SAIL,2431444.5196587513,38,19314
50I,2423914.047762323,34,17443
TWO,2349304.5006890823,33,16572
FAM3,2304604.3667584993,42,18125
ZSH,2283475.8013414056,36,18897
FERAL,2280657.566191069,46,16967
A3,2215085.519024842,14,16359
XLUVX,2207267.7172318534,47,17214
BRAVE,2144330.3821088127,38,16252
AL3,2108515.2076994213,31,15966
1STRED,2090751.9703885533,42,16351
OVCR,2089875.2207418808,32,18062
C0NQUE,2055726.389351581,31,14893
HELIUM,2023959.9198734146,50,17084
