Team,TotalPoints,Racers,Races
SPRME,32997446.59784917,49,229158
P1RE,20897885.20913,35,152042
TVX,19445573.853917934,46,140407
RR,18559023.575833816,34,126366
PR2W,15622094.58999927,50,110925
N8TE,14498887.18398992,44,103969
CAM0,13180991.761037191,50,92678
ECS,12741979.596076738,15,85936
PSR,12461476.797340004,47,91131
NTPD1,12451360.392859353,48,90717
CZBZ,11820169.24213155,45,85215
ZL,11709716.243492022,36,82688
IR,11527204.799898863,34,85782
TXT,11413454.511583887,49,81222
SSH,11106636.25417257,37,79112
NCT,10669010.428758528,45,77354
LXW,10131766.58878791,50,71299
FFS,8819324.6229693,48,64606
BEEHVE,8692441.375492059,41,64887
WP,8489957.56130124,49,59911
S0RC,7126111.742801201,48,49669
TCHR,6521061.115962609,31,48966
CHONT,6294354.297198741,8,39384
4CU,5053401.208575561,40,30501
QC,4938233.4323203415,2,36547
RFTP,4872873.129481041,39,39656
LEGNDS,4836921.4356280845,41,34625
FASZ,4823435.721502529,23,34540
NTO,4610707.51148549,37,36447
LOVGOD,4415169.61339783,42,31479
DIV1,4283868.398439302,44,29738
TFV,4269037.565420123,35,28827
TVM,4208294.554392686,40,30865
ZTAGZ,3942392.002575924,39,26995
LLJ4R,3528032.2605319535,39,28997
WPMWPM,3524550.699319904,39,28360
ERC,3496573.484011396,21,24279
RZ,3410399.0234993296,46,26923
RI5E,3300150.2238818556,44,25238
AMPX,3264040.737528898,46,24950
190IQ,3215676.343341509,6,22960
DLX,3002864.378393155,46,24709
FTHM,2910909.9871003903,46,21396
NHS,2901625.6277060746,50,22735
NTP444,2806963.0675156177,37,22941
HFE,2805312.313260833,20,18758
MEYBO,2781945.7248851485,27,20040
ZH,2776683.0297256364,47,20441
42712,2658853.5374278496,7,19979
F0J,2620527.2000294095,37,19106
NS7,2610793.4173921105,44,19281
VKS,2501300.8755565677,40,18833
T3X5,2430024.08215997,27,16944
T0WER,2415706.9262672164,38,16116
50I,2414408.2115303124,34,17373
VG,2342322.1370367543,32,17432
SAIL,2320519.7267323057,39,18420
TWO,2276267.6674044896,33,16057
FAM3,2256000.7130732257,42,17755
ZSH,2251728.175673057,38,18632
FERAL,2240033.830683366,49,16649
A3,2175322.9224386225,7,16069
BRAVE,2101311.6507239826,36,15965
1STRED,2044106.0961805908,43,16020
AL3,2033181.109419483,32,15418
OVCR,2027641.5278297868,30,17521
C0NQUE,1951318.0711387596,33,14075
HELIUM,1926418.7694597668,48,16268
EXTRME,1849709.19453339,39,12059
L3JENS,1827881.414776223,18,12233
RVNT,1804361.9424255863,20,15160
CAT4,1796865.4329090195,47,15420
GLXM,1768662.5338281577,7,11863
4EP,1731757.1215198967,43,12946
LE4GUE,1672700.9070391206,48,13297
LTC,1639031.169106801,25,10318
SSNAKS,1572210.562290505,39,13132
ASPN,1548687.0813329092,41,12744
TRUST,1515277.9785087602,21,11664
NGREEN,1505809.0875266497,36,12297
B0MBA,1487595.2682303502,40,10411
SZM,1469936.202680181,44,12695
XWX,1460904.988350997,44,11925
BPR,1444115.5242861318,37,10629
XMVP,1434123.1428439377,35,11444
TNGN,1423708.511941125,42,10103
ALFJ,1354288.0542656123,46,10891
RL,1317455.4163933937,27,9501
ZER0SE,1307794.9680890555,44,9619
ESTER,1299248.684300448,27,9663
SNTL,1257300.1887651188,27,8831
ST0RM,1251765.334310198,16,9145
D4RKER,1203425.4692573592,29,8628
WTRMN,1151035.042855768,33,8386
SK4P,1064069.764504806,16,8509
RL1,1062902.050208084,39,7806
AL0N3D,1029969.1585264798,39,7860
LSH,1020197.7543115827,35,8310
KBSM,975703.5039339595,35,7254
FERARI,974748.056133131,40,8317
BAYLOR,959761.0753846975,30,8413
WPJR,936150.8331916657,4,5234
FUZHOU,931501.6581278362,45,6925
DCPTCN,914846.0652884737,23,7474
SBD2,911477.1204385932,2,5699
BKYS,886861.8217981193,28,6832
VXL,877435.939431703,6,6394
MED13L,857619.9112199442,34,5938
1BESTW,853110.7478344999,29,6328
SWF,851458.4982669478,19,6010
DUAL,845858.3030323421,25,6137
REB3LS,838982.8156220379,24,6780
SPDLM,821215.0550811179,44,6599
W2V,788958.3851166407,20,5989
FOX109,786487.1366299127,27,5689
PIGFLY,775850.959038882,34,5769
NTW,763021.5339476716,43,7583
DOGGIS,762538.6776162236,36,6387
SEDYKO,732266.8070914228,19,6796
UNREST,703513.5589295399,22,5133
VS,670965.0915203178,22,4570
B4HL,666638.9427849046,7,4634
HONT,658564.6251394626,23,4537
HZE,626386.1966846638,22,4586
BRICS,612456.6534564705,40,5802
CATPLT,597399.9690794698,39,4767
PR2WX,590534.7457130386,31,5435
KAPOK,569614.0516107376,33,4642
OER,558505.002107531,29,4200
NTA4,534932.0196917248,2,3654
FLAGZ,521201.2124511874,22,4359
RIV4L,509124.71922586067,19,3602
TDTY,498713.6537225837,6,3839
VLN,480786.63797739963,27,3955
GSGMWO,478569.330406409,40,3889
TOTUF7,472687.4479416453,29,3975
PIRC,450479.70537851925,15,3104
NTT,443324.5849666529,22,3417
NI1TRO,419258.08042193414,24,2981
EMPERR,413201.88356334914,10,2808
FG4,408651.64621950773,31,3747
WAMDOO,387017.8712344185,22,3389
JEDI1,385421.0422172135,6,2855
TALK,366435.2459135795,20,2489
LOFH,354522.53444854286,10,2515
GOATOG,339885.8969734321,26,2888
VTI,328870.8121697299,27,2673
NTRS34,322056.13837697933,23,2807
LEDIHH,307344.16356848646,15,2385
BAR0NS,281000.5256411142,5,2010
EXOTIC,278600.63819199865,8,2243
201030,252301.84315615185,30,2317
TMW,252248.69316415038,15,2149
BR34K,252233.13134429895,3,1815
SER,249329.65420022007,16,1852
NTM,247316.68212652052,22,1639
BEES,240970.7873022301,3,1565
TYZ,231366.23818898783,27,1938
KR0W,228000.6764223019,10,1655
XIII,226561.87811278724,16,1740
SG1MAS,187737.01706005936,28,1408
UNSCF,177659.20614263442,15,1375
XBTP,175389.86689764823,2,1184
TGNM,164884.05194519798,11,1225
FRLB,159059.45577129445,3,1081
170MPH,157668.8131311186,29,1413
BMW,153278.35455048905,4,1161
792231,147965.63428837605,2,1022
YE1LOW,107287.67528702266,4,776
M1NE,90971.21855342294,6,793
SPRINT,87048.22827503376,9,646
GLZ,85466.43193051746,15,704
HAC33R,84088.88923866987,8,785
FORKS,76167.25243573253,9,599
NT20,66948.40955506617,2,626
WERTQY,39742.06094543495,2,247
DANCE2,39580.64866779905,10,225
XS9,32557.187154656374,1,280
EMZ,31618.67023585165,7,243
KNTT,23006.648698394885,10,202
NT,22483.77843448458,8,160
CYCV,17006.896104713334,2,124
F1ERCE,8662.962422226206,4,69
IQ200,4617.87673765252,2,51
YADLRS,3433.1907493997214,1,24
CS,1879.075091724419,1,13
2S,1655.5235913879983,0,12
VFU,768.4828240652876,0,6
PTB,0.0,0,0
AV,0.0,0,0
NTA,0.0,0,0
NTA3,0.0,0,0
