Team,TotalPoints,Racers,Races
SPRME,34929831.749328986,49,242751
P1RE,21306660.146634165,36,155183
TVX,19734369.212265234,48,142435
RR,18651216.097015783,33,126998
PR2W,16396353.259331064,49,116213
N8TE,15055907.009157557,41,107892
ECS,14254660.754105488,16,96377
CAM0,13659548.460571196,49,95972
ZL,13277786.360219382,36,94228
NTPD1,12849430.23114999,49,93630
PSR,12820636.751640644,46,93813
IR,12245122.127363937,42,91063
CZBZ,12134227.802441139,44,87484
TXT,11742964.232027085,49,83724
SSH,11448556.006478772,39,81501
NCT,10902612.66877507,46,79061
LXW,10617935.942203386,42,74823
WP,9289218.780029915,48,65378
USP,9213164.20272841,50,68426
FFS,9174987.055406174,45,67150
BEEHVE,8972133.20455935,42,67009
S0RC,7322843.625672181,47,51095
TCHR,6639613.51801894,33,49908
CHONT,6294354.297198741,7,39384
NZV,5696707.777647327,42,36766
CR7LEG,5330087.228375626,14,30443
COMP5,5092758.556813493,36,36626
QC,5086258.084872607,2,37625
4CU,5061151.058442878,40,30564
LEGNDS,5052247.8286110675,42,36291
RFTP,4973902.844049621,38,40544
FASZ,4869182.464555933,23,34888
WD5,4788541.235332273,19,34453
NTO,4654511.3052015025,39,36800
TFV,4490183.290866891,33,30285
LOVGOD,4475254.753670041,42,31958
NVSEAL,4414518.101465267,42,33400
TVM,4365111.557532921,40,32027
DIV1,4337174.91975047,45,30126
0CE8N,4274923.590716456,44,32793
ZTAGZ,3950278.8307494246,40,27055
DKC,3826860.093179543,45,29786
NXC,3671757.358516009,26,24459
WPMWPM,3577462.4444505027,31,28815
RI5E,3536055.450631865,44,26987
LLJ4R,3534348.2715446893,39,29051
RZ,3503765.9584607505,43,27692
ERC,3503576.647054179,23,24319
AMPX,3424420.629786621,46,26088
MTC2,3416854.2400451205,26,24076
190IQ,3217475.3993804054,4,22972
42712,3164152.1141769937,20,23637
FTHM,3104262.7529789386,45,22828
DLX,3042106.2592513864,45,25044
ZH,2969230.328769942,46,21951
NHS,2939551.403415115,49,23000
USAAT,2939075.2838940267,47,22847
NTP444,2835716.327410735,31,23169
HFE,2827408.2224406493,20,18931
MEYBO,2798904.8005797933,27,20173
NS7,2648820.318743832,40,19562
T2V,2644857.4800533555,9,17911
F0J,2637303.305491852,39,19235
MMM0,2613336.2550606793,26,14940
VG,2593704.172170016,34,19266
VKS,2539678.072559132,39,19120
T3X5,2496231.7663813853,28,17427
HYP3Z,2453310.657576059,46,20251
T0WER,2449520.0055068065,39,16334
50I,2423496.610283316,34,17440
NTPTS,2409831.7034581723,42,18284
DANATK,2403384.9823733307,49,20408
L3JENS,2396985.2459534784,18,16091
SAIL,2394784.8417156595,38,19015
TWO,2312463.2704126267,33,16311
FAM3,2287658.847332824,42,17996
ZSH,2275316.6996879843,38,18829
FERAL,2271466.448060108,48,16899
A3,2201866.1311010714,12,16269
XLUVX,2199769.911846083,48,17149
BRAVE,2143556.0939315786,37,16246
AL3,2092615.0439687194,31,15839
1STRED,2083692.061074137,42,16294
OVCR,2079394.6536857695,32,17970
C0NQUE,2049217.7810280526,33,14841
HELIUM,1980195.94317051,50,16720
P20W,1969262.702309433,49,14060
BE3ST1,1965792.8921194717,45,16152
GLXM,1933520.2519638133,7,12962
CAT4,1932415.6588859714,44,16565
EXTRME,1892325.547439314,39,12387
RVNT,1806771.1838911055,20,15179
RL,1785464.5275447308,22,12962
4EP,1780722.3545025752,42,13318
DDFR,1691740.785128835,29,10910
LE4GUE,1689759.4294006312,44,13435
911000,1674066.5535026228,34,13676
LTC,1665973.3087975713,26,10534
ASPN,1594968.1168919478,40,13140
SSNAKS,1589202.3017412852,39,13264
NGREEN,1556096.6546066382,39,12660
TRUST,1545602.9274857272,21,11892
BEGO0D,1530075.5770933863,48,11379
BPR,1510127.5318847455,31,11062
B0MBA,1500519.2257805776,38,10525
SZM,1485671.052179482,45,12837
TNGN,1483149.0096313418,42,10443
XWX,1470549.2755022214,45,12004
XMVP,1450178.8458608189,31,11567
DUCCK,1437255.9079980515,47,11085
BKYS,1434867.20966766,32,10699
RL1,1407936.3204264645,41,10220
VTU,1392029.7782205427,14,9762
ALFJ,1371718.4317224124,46,11027
ZER0SE,1367891.2690941447,44,10020
ZEEK,1364395.790857597,25,10182
ESTER,1320781.0417888418,24,9819
H0LY,1304654.9075531922,33,9716
SNTL,1277622.219813975,27,8990
FS1,1273334.6679275248,42,9282
ST0RM,1269415.6271357795,16,9262
FTINT,1260769.9199277307,31,8109
UFOUFO,1244290.0643724543,48,11381
PRETZE,1242669.8060504762,33,9813
QX,1235259.6775675716,34,10447
D4RKER,1221075.525938643,29,8756
WTRMN,1170535.275294902,32,8510
DRICE,1127162.3658563003,48,9816
FVRSMR,1071001.533646676,36,8848
SK4P,1069125.303678023,15,8554
AL0N3D,1064619.1914247721,40,8105
3X0T15,1063450.273844858,33,6955
SEMI,1051043.9603840502,47,8324
LSH,1027696.8417755049,35,8370
FERARI,997264.9829600606,38,8503
BAYLOR,982497.7439030494,30,8627
KBSM,978216.822993318,35,7275
SWF,967778.0874145104,21,6823
FUZHOU,943793.7883338458,47,7015
WPJR,936150.8331916657,4,5234
WBMS12,922212.1994647813,39,8070
DCPTCN,919793.2568509292,22,7516
SBD2,911635.6596987948,2,5700
MED13L,883394.7253030092,34,6111
VXL,881950.2533804578,5,6431
1BESTW,878032.0776572567,30,6508
DUAL,859088.5931429444,25,6238
REB3LS,843286.5860658108,25,6813
SPDLM,830527.771620722,43,6667
FOX109,797465.1905247539,27,5772
DOGGIS,797382.2236375096,38,6696
W2V,794149.0342666565,20,6026
PIGFLY,790979.4540203987,35,5898
NTW,789018.796547635,44,7847
DB35T,736476.8896944885,37,5797
SEDYKO,732692.3639154749,19,6800
UNREST,713663.6653645163,22,5196
HONT,704183.0575425237,22,4842
ON,695208.9612435361,15,5810
VS,690809.101089044,23,4706
B4HL,671636.5208534737,6,4668
AURA80,653903.803529029,48,6192
M4NTA,641784.6251379413,30,4963
HDIK96,634494.3711285379,18,5398
HFCASH,631639.7552633509,8,5175
HZE,630991.8838387952,23,4621
BRICS,630054.9303026007,39,5988
GENRAC,623513.8348839118,27,5239
PR2WX,622541.5374104016,32,5732
CATPLT,608630.7331448506,39,4859
OER,593471.494831651,29,4462
KAPOK,586142.4817722982,33,4784
IBM,583311.496436641,11,3891
PAND96,579937.0808377923,12,4305
NTA4,534932.0196917248,2,3654
SSME,533209.3336182625,18,4448
FLAGZ,533051.4523266947,21,4455
DAGRUP,525633.7554837387,36,4926
TDTY,512833.6573277149,5,3961
GSGMWO,509351.9021497808,38,4125
RIV4L,509124.71922586067,19,3602
ENMP,508389.655004876,8,3402
VLN,482144.8346733804,28,3966
NTT,478621.13140801905,22,3722
TOTUF7,476135.54981766973,29,4009
EMPERR,467578.20814088156,10,3195
PIRC,452777.8984414557,16,3121
NI1TRO,431798.0299119838,25,3070
GODM,421910.4347097125,11,3194
FG4,414501.4595114825,30,3800
TALK,396539.2131693541,22,2669
WAMDOO,392961.29101480625,22,3437
JEDI1,385421.0422172135,6,2855
NWH,376965.5869539464,10,2880
LOFH,355717.9784402158,10,2523
VTI,341140.22145890584,27,2781
GOATOG,341092.04658391787,26,2899
NTRS34,328320.07705427334,23,2860
SHIBA,327962.6620682696,5,2223
ULZ,312167.5066989103,29,2620
LEDIHH,309980.6168459617,15,2406
BR34K,303308.7442628614,3,2156
LE9ND,298768.1495311528,8,2529
TMW,297627.7230925298,15,2515
EXOTIC,281758.6076424294,8,2269
BAR0NS,281000.5256411142,5,2010
SPRIT3,280513.0588160815,16,2177
BEES,273508.31630013936,3,1776
XIII,273290.40727672214,17,2098
DTR,270852.88301918714,4,1828
TYZ,257996.7642192481,30,2157
NTM,256693.11654646098,22,1705
IMT,255044.5863858053,7,1895
201030,254065.00251188167,31,2334
SER,249329.65420022007,16,1852
KR0W,228270.83159067782,10,1657
XBTP,219178.4887287573,2,1473
UNSCF,205508.31415686788,16,1566
SG1MAS,189460.21354462559,28,1422
TEZLA,180791.69224869137,3,1262
PAWS,169029.40482153767,9,1175
