Team,TotalPoints,Racers,Races
SPRME,49697191.58428484,47,348677
P1RE,24875515.995608926,38,181989
TVX,24838202.791805334,47,179179
PR2W,22394619.47663063,48,157643
N8TE,20990340.393420897,45,148263
CAM0,20068951.65934748,50,141354
CZBZ,16472941.105578745,46,119892
PSR,16392739.986989714,47,119273
NTPD1,15880437.992124049,50,115973
SSH,14874325.125263756,40,105169
NCT,12418112.712380609,44,90390
BEEHVE,12290779.253808144,50,91845
LXW,11503931.57755472,5,81219
S0RC,9395648.197382562,39,66375
TCHR,7953106.1759107,43,60351
LEGNDS,6423887.288474584,46,46991
DIV1,6374406.147305216,29,43642
CHONT,6313064.728066565,4,39542
RFTP,5956174.364424059,39,48592
NTO,5954140.6668618675,50,46605
LOVGOD,5659755.80769784,39,40206
FASZ,5178626.636690692,21,37138
4CU,5104327.131594286,32,30934
RI5E,4809919.439179972,49,36815
ZH,4759774.221619633,43,35119
ZTAGZ,4400171.580993341,36,30537
AMPX,4382089.990329282,43,33525
RZ,4360390.726920952,49,34321
WPMWPM,3908047.0549885184,26,31592
LLJ4R,3856127.6131328284,27,31875
ERC,3855429.1843127646,28,26622
NTP444,3598438.8819186087,46,29552
MEYBO,3554258.4780686814,21,25309
T3X5,3527919.0332061043,17,24998
DLX,3517707.6951465337,44,29040
NHS,3491038.5491338777,46,27255
A3,3451918.7555225543,25,25228
190IQ,3369586.748529187,10,24091
NS7,3346768.6495651044,44,24763
RL,3282223.032775081,13,23944
FAM3,3144549.939021793,40,24670
HELIUM,3131782.4498167383,49,26198
SAIL,3068774.7587325377,41,24480
F0J,3065095.368902013,39,22639
AL3,2969080.7604644587,38,22456
ZSH,2965256.3955688644,43,24381
T0WER,2862666.5488589127,40,19136
50I,2764077.982465586,17,20076
BRAVE,2725911.8148166146,43,20760
1STRED,2685328.3708535056,46,21252
RL1,2631744.999176713,37,19056
TWO,2543108.078944851,33,17979
NGREEN,2421566.252539118,44,19270
EXTRME,2400334.913448026,36,16172
4EP,2356972.4992721896,45,18411
LE4GUE,2351918.04666234,43,18667
OVCR,2324885.885841075,20,20058
SSNAKS,2196400.735539555,48,18481
RVNT,2139194.2886233963,15,17963
ALFJ,2001988.2944753785,44,16310
ASPN,1968013.8648624502,39,16275
TRUST,1893688.8003603674,24,14361
ZER0SE,1884474.540684901,48,13978
SZM,1805182.7098069068,45,15624
ESTER,1764229.198635137,29,13154
B0MBA,1760235.797160145,37,12739
TNGN,1728378.321465158,42,12235
BAYLOR,1695573.9571540505,33,14879
SNTL,1606260.322071478,28,11302
D4RKER,1592232.678120425,30,11406
WTRMN,1426556.6374179637,35,10467
ST0RM,1371648.9029268129,8,10044
FERARI,1289826.0496225357,35,11008
KBSM,1280078.9657064502,38,9499
AL0N3D,1260185.0388531245,39,9639
LSH,1246384.0840872754,38,10186
DUAL,1204016.3288558277,25,8722
SK4P,1189258.4981077341,16,9603
1BESTW,1178646.477509661,30,8775
MED13L,1173338.6899072842,34,8137
BRICS,1127277.45556456,40,10926
DOGGIS,1079422.2117720363,40,9099
NTW,1057953.1500077578,43,10425
REB3LS,1055785.967924873,27,8522
FOX109,1034936.179805287,28,7551
SPDLM,963434.4677736316,39,7665
DCPTCN,949235.9529476436,13,7761
B4HL,947387.5866401262,8,6555
VXL,941407.8134215539,6,6939
PIGFLY,928865.976419608,38,6976
UNREST,926281.0305074342,25,6710
OER,903869.183434506,32,6819
W2V,891020.9649850683,21,6738
HONT,814635.7080447704,27,5634
CATPLT,791892.1936936715,41,6158
SEDYKO,771878.8066442277,18,7182
GSGMWO,738909.1749786625,35,6069
NTT,716404.2743480575,28,5747
KAPOK,710604.0079024201,34,5825
HZE,698620.155277293,25,5144
BR34K,633738.5527547321,3,4192
RIV4L,608080.39007754,18,4218
NI1TRO,584087.8083946533,28,4162
UNSCF,562247.0710917868,22,3724
TALK,522541.6561549044,25,3569
FG4,510228.27698525647,27,4674
VLN,504202.51006493246,26,4147
WAMDOO,472450.9229142583,27,4134
NTRS34,467683.6056899827,21,4084
VTI,440631.013896748,28,3616
LOFH,410106.3252309412,11,2924
LEDIHH,402290.0677733634,16,3113
BEES,400820.80338137725,3,2589
JEDI1,396469.6789169488,5,2938
GOATOG,384065.86207847664,25,3276
EXOTIC,360970.10268322175,7,2905
NTM,352153.68522526417,24,2366
201030,327922.9062234546,34,3054
SER,271763.2882270252,17,2031
SG1MAS,249823.5223790339,33,1878
KR0W,240546.47094508144,12,1748
170MPH,189688.48748485526,32,1697
TGNM,180475.82773439115,1,1354
FRLB,173611.22580634986,3,1180
YE1LOW,163408.67884939222,6,1183
BMW,157291.60885562692,4,1191
792231,150514.56572999049,2,1041
FORKS,123699.2834041993,2,951
SPRINT,110524.41666402221,11,836
HAC33R,99505.15229143351,9,935
M1NE,98126.8812104868,7,857
GLZ,97660.70142735622,9,825
NT20,66948.40955506617,2,626
EMZ,42279.86354334149,10,329
XS9,36878.464690156856,1,317
NT,25318.178200221595,8,181
IQ200,8256.96727849209,3,92
YADLRS,4868.371368373798,1,34
2S,1765.0737898678879,0,13
VFU,1016.3465007702894,0,8
PTB,158.9201244813278,1,1
CYCV,0.0,1,0
VKS,0.0,2,0
